Symbol,Date,Close,High,Low,Open,Volume
MO,2015-11-13,56.28,57.04,56.26,56.76,4648760
MO,2015-11-16,56.77,56.92,56.25,56.28,5151605
MO,2015-11-17,56.68,57.1,56.505,56.85,3883375
MO,2015-11-18,57.06,57.15,56.44,56.89,6322157
MO,2015-11-19,57.46,58.03,57.22,57.22,5583704
MO,2015-11-20,57.13,58.38,57.08,57.55,6328165
MO,2015-11-23,57.62,57.84,57.14,57.32,4521790
MO,2015-11-24,57.57,57.83,57.01,57.39,3714297
MO,2015-11-25,57.5,57.73,57.161,57.6,2980105
MO,2015-11-26,57.5,57.5,57.5,57.5,0
MO,2015-11-27,57.75,58.03,57.5,57.59,1767912
MO,2015-11-30,57.6,58.5,57.5,57.96,7877448
MO,2015-12-01,57.89,57.96,57.27,57.66,4852124
MO,2015-12-02,57.84,58.4,57.75,57.89,5269450
MO,2015-12-03,57.09,58.0,56.86,57.7,5164952
MO,2015-12-04,58.51,58.57,57.43,57.46,7450458
MO,2015-12-07,58.27,58.91,58.07,58.59,4262020
MO,2015-12-08,58.23,58.36,57.755,58.18,3227085
MO,2015-12-09,57.33,58.4699,57.05,58.02,5428209
MO,2015-12-10,57.18,57.66,56.83,57.48,4717764
MO,2015-12-11,56.46,57.09,56.24,56.72,5310881
MO,2015-12-14,57.52,57.585,56.17,56.39,6493946
MO,2015-12-15,57.34,58.24,57.155,57.78,6042869
MO,2015-12-16,58.95,59.15,57.4043,57.72,6864846
MO,2015-12-17,58.43,58.95,58.3399,58.79,5165531
MO,2015-12-18,57.13,58.19,57.11,58.13,11644600
MO,2015-12-21,57.44,57.72,56.64,57.43,7881727
MO,2015-12-22,57.77,57.89,56.75,57.17,6713743
MO,2015-12-23,58.43,58.49,57.6815,57.94,4148664
MO,2015-12-24,58.29,58.58,58.25,58.32,1785163
MO,2015-12-25,58.29,58.29,58.29,58.29,0
MO,2015-12-28,58.27,58.44,57.83,58.11,3376716
MO,2015-12-29,58.92,58.99,58.35,58.59,3813281
MO,2015-12-30,58.8,59.1342,58.62,58.98,3236052
MO,2015-12-31,58.21,58.696,58.1,58.51,3652152
MO,2016-01-01,58.21,58.21,58.21,58.21,0
MO,2016-01-04,57.39,57.58,56.56,57.54,6800552
MO,2016-01-05,58.55,58.74,57.42,57.48,6407647
MO,2016-01-06,59.17,59.47,58.0,58.05,7686571
MO,2016-01-07,58.14,59.3,57.83,57.92,7314095
MO,2016-01-08,58.24,59.23,58.03,58.3,7059460
MO,2016-01-11,59.46,59.74,58.68,58.68,8228719
MO,2016-01-12,59.38,60.08,58.92,59.96,5628176
MO,2016-01-13,57.78,59.35,57.7001,59.35,7714313
MO,2016-01-14,58.22,58.7,57.51,57.7,6738711
MO,2016-01-15,57.2,58.15,56.83,57.05,9785814
MO,2016-01-18,57.2,57.2,57.2,57.2,0
MO,2016-01-19,58.4,58.65,57.69,57.78,7911477
MO,2016-01-20,57.22,58.14,56.151,57.57,9562879
MO,2016-01-21,57.45,57.74,56.762,57.48,6151451
MO,2016-01-22,58.28,58.41,57.52,58.15,6449261
MO,2016-01-25,58.4,59.14,58.27,58.49,6677752
MO,2016-01-26,58.96,59.7,58.35,58.71,8360837
MO,2016-01-27,58.96,60.12,58.51,58.99,8296961
MO,2016-01-28,59.63,59.89,58.02,58.11,7445913
MO,2016-01-29,61.11,61.18,60.02,60.22,10238960
MO,2016-02-01,60.94,61.38,60.7,60.73,6017570
MO,2016-02-02,60.49,60.8,60.05,60.44,6734687
MO,2016-02-03,59.84,61.02,59.135,60.5,7979667
MO,2016-02-04,59.48,59.96,58.87,59.35,6364665
MO,2016-02-05,59.8,60.0,58.84,59.8,7506216
MO,2016-02-08,60.12,60.42,59.0,59.11,7922533
MO,2016-02-09,60.45,61.13,59.73,60.15,7670808
MO,2016-02-10,60.05,61.08,59.915,60.61,6137484
MO,2016-02-11,59.99,60.3,59.18,59.57,5865865
MO,2016-02-12,59.97,60.64,59.51,60.33,6719716
MO,2016-02-15,59.97,59.97,59.97,59.97,0
MO,2016-02-16,60.3,60.54,59.73,60.26,6590793
MO,2016-02-17,60.4,60.75,59.85,60.47,5311747
MO,2016-02-18,60.62,60.7,60.23,60.32,5524670
MO,2016-02-19,60.56,60.93,60.03,60.62,4982327
MO,2016-02-22,61.21,61.36,60.71,61.02,4590489
MO,2016-02-23,61.52,61.77,61.04,61.22,4684214
MO,2016-02-24,61.36,61.42,60.63,61.2,4186882
MO,2016-02-25,62.38,62.445,61.38,61.5,5207188
MO,2016-02-26,61.54,62.53,61.28,62.53,5543565
MO,2016-02-29,61.57,62.24,61.27,61.51,6261506
MO,2016-03-01,61.73,62.29,61.32,62.13,7102049
MO,2016-03-02,61.5,61.69,61.03,61.48,5623093
MO,2016-03-03,62.23,62.285,61.16,61.5,5119081
MO,2016-03-04,62.98,63.065,61.875,62.15,5930922
MO,2016-03-07,61.81,63.08,61.6,62.86,9972846
MO,2016-03-08,62.3,62.39,61.45,61.77,5875112
MO,2016-03-09,62.81,62.89,62.4001,62.64,5932329
MO,2016-03-10,63.0,63.15,62.42,62.91,6126046
MO,2016-03-11,62.01,62.86,61.735,62.8,7469775
MO,2016-03-14,62.01,62.3,61.57,62.14,4755081
MO,2016-03-15,61.86,62.06,61.674,61.69,5815134
MO,2016-03-16,62.07,62.22,61.28,61.83,5282211
MO,2016-03-17,62.33,62.68,62.01,62.07,7225140
MO,2016-03-18,61.54,62.44,61.39,62.39,16636595
MO,2016-03-21,61.72,62.0,61.06,61.45,4124719
MO,2016-03-22,61.0,61.66,60.77,61.45,5198384
MO,2016-03-23,61.41,61.78,60.33,60.86,6229229
MO,2016-03-24,60.88,61.29,60.51,60.81,5651718
MO,2016-03-25,60.88,60.88,60.88,60.88,0
MO,2016-03-28,61.63,61.85,60.85,60.87,4468520
MO,2016-03-29,62.03,62.58,61.48,61.86,8973246
MO,2016-03-30,62.58,62.8,62.03,62.16,6622979
MO,2016-03-31,62.66,62.995,62.37,62.58,6442821
MO,2016-04-01,63.06,63.15,62.11,62.35,5833125
MO,2016-04-04,63.23,63.3,62.67,63.03,5093022
MO,2016-04-05,62.93,63.27,62.79,63.04,4728770
MO,2016-04-06,63.56,63.64,62.92,63.0,5581446
MO,2016-04-07,63.41,63.71,62.83,63.22,5600178
MO,2016-04-08,63.8,63.96,63.42,63.42,5044754
MO,2016-04-11,63.31,64.16,63.22,64.11,5928748
MO,2016-04-12,63.82,63.98,63.33,63.6,4980593
MO,2016-04-13,62.07,64.11,61.03,64.11,14747389
MO,2016-04-14,61.59,62.66,61.5,62.19,7386467
MO,2016-04-15,61.68,61.75,60.85,61.71,6738709
MO,2016-04-18,62.17,62.419,61.58,61.63,4343983
MO,2016-04-19,61.71,62.09,61.13,61.99,4966455
MO,2016-04-20,61.48,61.92,61.21,61.57,4636928
MO,2016-04-21,60.18,61.4199,60.09,61.35,6611635
MO,2016-04-22,60.52,60.56,59.48,60.24,6977961
MO,2016-04-25,61.22,61.23,60.19,60.5,4785240
MO,2016-04-26,61.35,61.53,60.79,61.27,5619193
MO,2016-04-27,61.55,61.98,60.98,61.44,6189310
MO,2016-04-28,62.19,62.595,61.56,61.6,5544990
MO,2016-04-29,62.71,63.13,62.25,62.28,6470251
MO,2016-05-02,63.12,63.42,62.6,62.83,4740244
MO,2016-05-03,63.2,63.46,62.78,63.05,5197946
MO,2016-05-04,63.23,63.5901,62.69,62.94,5468797
MO,2016-05-05,62.84,63.58,62.585,62.67,8835028
MO,2016-05-06,62.93,63.21,62.66,62.72,7225684
MO,2016-05-09,63.66,63.78,62.92,63.16,6759268
MO,2016-05-10,64.6,64.65,63.71,63.98,6488899
MO,2016-05-11,64.61,64.873,64.321,64.53,4776384
MO,2016-05-12,65.02,65.24,64.35,64.66,5652841
MO,2016-05-13,64.58,65.53,64.37,64.7,5643385
MO,2016-05-16,64.76,64.93,63.656,64.3,4811028
MO,2016-05-17,63.88,64.49,63.5,64.45,6949054
MO,2016-05-18,62.99,63.74,62.65,63.71,6277094
MO,2016-05-19,63.35,63.38,62.57,62.88,4379674
MO,2016-05-20,62.96,63.7,62.76,63.59,4815445
MO,2016-05-23,63.24,63.35,62.81,62.99,3709491
MO,2016-05-24,63.79,64.122,63.51,63.59,5209613
MO,2016-05-25,63.92,64.15,63.64,63.79,4265913
MO,2016-05-26,64.0,64.09,63.6515,63.85,3732653
MO,2016-05-27,63.96,64.27,63.6701,64.06,3255739
MO,2016-05-30,63.96,63.96,63.96,63.96,0
MO,2016-05-31,63.64,64.29,63.24,64.12,6922062
MO,2016-06-01,64.35,64.5,63.66,63.68,5993453
MO,2016-06-02,64.31,64.36,63.92,64.26,3672947
MO,2016-06-03,65.3,65.5,64.39,64.5,6829496
MO,2016-06-06,65.2,65.65,64.88,65.46,4813402
MO,2016-06-07,65.1,65.44,64.965,65.22,4177240
MO,2016-06-08,65.62,65.68,64.87,65.02,5437662
MO,2016-06-09,65.86,66.0,65.25,65.5,4638060
MO,2016-06-10,66.13,66.19,65.52,65.56,5208030
MO,2016-06-13,64.84,65.9,64.81,65.5,7761099
MO,2016-06-14,65.3,65.39,64.52,64.97,7870386
MO,2016-06-15,65.33,65.715,64.835,65.43,5361508
MO,2016-06-16,65.95,66.0,65.06,65.33,5777199
MO,2016-06-17,65.4,65.93,64.94,65.85,7311256
MO,2016-06-20,65.88,66.18,65.5688,65.77,5787250
MO,2016-06-21,66.18,66.75,66.16,66.29,4710401
MO,2016-06-22,66.15,66.6,66.09,66.36,4919347
MO,2016-06-23,66.31,66.57,65.96,66.49,5041750
MO,2016-06-24,67.02,68.0,65.07,65.14,16923882
MO,2016-06-27,67.93,67.98,66.95,67.07,11198343
MO,2016-06-28,67.91,67.92,66.9712,67.69,8631546
MO,2016-06-29,67.83,68.42,67.52,68.24,7190533
MO,2016-06-30,68.96,69.26,67.6,67.9,9856190
MO,2016-07-01,69.02,69.63,68.86,69.28,7087159
MO,2016-07-04,69.02,69.02,69.02,69.02,0
MO,2016-07-05,69.61,70.145,69.0,69.12,7905342
MO,2016-07-06,69.72,70.0,69.2,69.57,6665550
MO,2016-07-07,69.3,69.95,69.25,69.9,5330894
MO,2016-07-08,69.83,69.89,68.8901,69.44,5339141
MO,2016-07-11,69.87,70.0599,69.13,69.9,5101589
MO,2016-07-12,68.87,69.86,68.84,69.65,7752917
MO,2016-07-13,69.08,69.32,68.88,68.9,5661282
MO,2016-07-14,68.92,69.31,68.7,68.88,5170481
MO,2016-07-15,69.41,69.48,68.95,69.17,5713920
MO,2016-07-18,69.17,69.4201,68.82,69.31,4569994
MO,2016-07-19,69.22,69.23,68.45,68.81,4725431
MO,2016-07-20,69.01,69.36,68.86,69.24,4272171
MO,2016-07-21,68.73,69.0,68.25,68.95,5321680
MO,2016-07-22,68.86,69.03,68.71,68.94,5772938
MO,2016-07-25,68.8,68.94,68.44,68.78,3916722
MO,2016-07-26,67.93,68.92,67.61,68.79,7357837
MO,2016-07-27,66.75,68.64,66.12,68.64,11249743
MO,2016-07-28,67.11,67.25,66.31,66.81,5816365
MO,2016-07-29,67.7,68.05,66.81,67.2,6147683
MO,2016-08-01,67.65,68.0,67.23,67.66,5038150
MO,2016-08-02,67.34,68.0,67.23,67.88,3974426
MO,2016-08-03,66.37,67.3,66.06,67.26,5662857
MO,2016-08-04,66.62,66.97,66.36,66.55,3512780
MO,2016-08-05,66.53,66.89,66.26,66.64,4695193
MO,2016-08-08,66.49,66.65,65.7,66.32,4947264
